Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.,,
ACLBSL,"1,048.00",0.83,"1,021.00","1,050.00","1,021.00","2,042","1,039.38",8.62,,
ADBL,282.17,0.57,280.00,283.00,278.50,"18,208",280.58,1.59,,
AHL,723.84,0.54,734.00,734.00,706.20,"3,571",719.98,3.86,,
AHPC,251.32,2.51,245.00,253.00,245.00,"118,818",245.16,6.16,,
AKJCL,201.55,1.03,195.60,203.00,195.60,"114,124",199.49,2.06,,
AKPL,223.09,1.87,216.10,225.00,216.10,"102,058",218.99,4.1,,
ALBSL,835.65,2.34,816.00,843.00,781.00,"8,276",816.51,19.14,,
ALICL,728.13,1.47,718.00,730.90,715.00,"17,234",717.57,10.56,,
ANLB,"4,990.47",-0.42,"5,030.00","5,078.00","4,951.70",112,"5,011.73",-21.26,,
API,268.45,2.4,263.00,269.90,263.00,"87,282",262.16,6.29,,
AVYAN,"1,003.52",0.72,"1,000.00","1,016.00",996.00,"3,615",996.37,7.15,,
BARUN,506.93,2.57,496.00,509.90,488.00,"72,931",494.25,12.68,,
BBC,"5,264.20",1.01,"5,125.00","5,296.00","5,125.00",250,"5,211.40",52.8,,
BEDC,771.88,0.42,780.00,795.00,754.60,"13,805",768.68,3.2,,
BFC,549.04,2.4,544.00,554.70,538.00,"18,005",536.15,12.89,,
BGWT,"1,001.80",1.51,"1,000.00","1,010.00",980.70,"3,670",986.90,14.9,,
BHDC,579.40,1.06,575.00,582.00,565.30,"7,233",573.32,6.08,,
BHL,331.64,0.58,323.30,335.00,323.30,"2,802",329.72,1.92,,
BHPL,"1,031.08",0.65,"1,004.00","1,044.80","1,004.00","8,970","1,024.42",6.66,,
BNHC,503.11,4.35,483.00,518.00,480.00,"7,122",482.14,20.97,,
BNT,"13,081.45",1.02,"12,800.00","13,100.00","12,800.00",223,"12,949.00",132.45,,
BPCL,388.85,1.03,380.70,393.00,380.70,"8,759",384.90,3.95,,
C30MF,9.17,3.85,9.00,9.18,9.00,"10,535",8.83,0.34,,
CBBL,832.33,0.8,835.00,835.00,824.00,"6,260",825.72,6.61,,
CCBD88,"1,132.00",1.07,"1,120.00","1,132.00","1,120.00",26,"1,120.00",12,,
CFCL,544.19,1.14,544.00,550.00,540.20,"16,663",538.08,6.11,,
CGH,864.24,0.62,857.10,869.60,855.00,"16,901",858.93,5.31,,
CHCL,478.53,0.34,482.00,483.00,476.50,"33,332",476.91,1.62,,
CHDC,"2,168.20",2.13,"2,110.00","2,190.00","2,110.00","40,565","2,122.97",45.23,,
CHL,515.28,0.89,520.00,520.00,505.00,"22,192",510.74,4.54,,
CIT,"1,952.13",0.29,"1,980.00","1,980.00","1,940.00","9,527","1,946.43",5.7,,
CITY,839.09,2.13,821.00,845.00,821.00,"3,527",821.63,17.46,,
CIZBD86,"1,107.80",0.33,"1,104.20","1,104.20","1,104.20",3,"1,104.20",3.6,,
CIZBD90,"1,120.00",0,"1,120.00","1,120.00","1,120.00",27,"1,120.00",0,,
CKHL,706.50,3.13,675.00,709.90,675.00,"3,675",685.03,21.47,,
CLI,500.43,1.16,495.10,501.90,495.00,"26,613",494.69,5.74,,
CMF2,9.29,1.42,9.30,9.30,9.10,"1,600",9.16,0.13,,
CORBL,"1,772.47",-1.62,"1,765.60","1,820.00","1,731.10","3,985","1,801.58",-29.11,,
CYCL,"1,598.26",3.24,"1,550.00","1,664.60","1,550.00","5,004","1,548.16",50.1,,
CZBIL,208.33,0.57,208.90,209.00,205.20,"36,434",207.15,1.18,,
DDBL,776.90,2.14,770.00,778.10,761.50,"4,852",760.61,16.29,,
DHPL,388.90,1.61,375.20,395.00,375.00,"70,897",382.75,6.15,,
DLBS,"1,536.82",1.61,"1,529.80","1,555.00","1,529.80","1,993","1,512.49",24.33,,
DOLTI,679.76,0.79,677.00,688.90,663.20,"8,824",674.41,5.35,,
DORDI,368.79,0.96,365.00,370.00,360.10,"3,843",365.27,3.52,,
EBL,603.17,0.46,602.00,605.00,600.00,"24,908",600.38,2.79,,
EBLD85,"1,145.00",-1.1,"1,145.00","1,145.00","1,145.00",25,"1,157.70",-12.7,,
EBLD86,"1,035.00",-0.48,"1,035.00","1,035.00","1,035.00",25,"1,040.00",-5,,
EDBL,635.84,2.07,612.00,641.50,612.00,"14,228",622.92,12.92,,
EHPL,703.59,2.73,695.50,710.90,663.50,"49,111",684.86,18.73,,
ENL,"1,111.00",0.1,"1,091.00","1,129.40","1,091.00","1,981","1,109.92",1.08,,
FMDBL,748.16,1.47,749.90,752.00,737.10,"13,932",737.32,10.84,,
FOWAD,"1,165.48",1.18,"1,173.00","1,174.00","1,160.10","1,438","1,151.86",13.62,,
GBBD85,"1,036.00",0.55,"1,030.00","1,030.00","1,030.00",27,"1,030.30",5.7,,
GBBL,387.96,1.96,380.00,390.00,380.00,"13,546",380.49,7.47,,
GBILD84/85,"1,182.00",0.16,"1,180.14","1,182.00","1,180.14",25,"1,180.14",1.86,,
